1	TRUE	경북 경산시 대동 214-1	128.760044879868	35.8314860566453
2	TRUE	경북 경산시 대동 214-1	128.75788424354846	35.83336499255077
3	TRUE	경북 경산시 대동 214-1	128.757257720253	35.83405901202
4	TRUE	경북 경산시 대동 214-1	128.75538639514374	35.83285182637683
5	TRUE	경북 경산시 대동 214-1	128.75311307212075	35.83218123950425
6	TRUE	경북 경산시 삼풍동 300	128.756130724179	35.8244983324933
7	TRUE	경북 경산시 대동 214-1	128.7544049955806	35.836677917762536
8	TRUE	경북 경산시 계양동 466	128.743403809681	35.8264138250508
9	TRUE	경북 경산시 중방동 897	128.73666956716002	35.83306434734083
10	TRUE	경북 경산시 압량읍 부적리 170	128.76718475231954	35.843618495772446
11	TRUE	대구 중구 공평동 15	128.597574564136	35.8693171305373
12	TRUE	대구 중구 남산동 2321	128.59110945231205	35.857826850760546
13	TRUE	대구 중구 동성로2가 88-22	128.595289276938	35.8706343384139
14	TRUE	대구 중구 동인동2가 42	128.601899941122	35.8688125525419
